id,title,title_slug,difficulty,likes,dislikes,ratio
496,Next Greater Element I,next-greater-element-i,easy,4889,298,16.406040268456376
1538,Maximum Points You Can Obtain from Cards,maximum-points-you-can-obtain-from-cards,medium,4878,180,27.1
1028,Interval List Intersections,interval-list-intersections,medium,4816,95,50.694736842105264
808,Number of Matching Subsequences,number-of-matching-subsequences,medium,4814,202,23.831683168316832
713,Subarray Product Less Than K,subarray-product-less-than-k,medium,4812,156,30.846153846153847
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,medium,4808,387,12.423772609819121
714,Best Time to Buy and Sell Stock with Transaction Fee,best-time-to-buy-and-sell-stock-with-transaction-fee,medium,4797,116,41.35344827586207
886,Score of Parentheses,score-of-parentheses,medium,4787,160,29.91875
27,Remove Element,remove-element,easy,4782,6482,0.7377352668929342
975,Range Sum of BST,range-sum-of-bst,easy,4781,339,14.103244837758112
354,Russian Doll Envelopes,russian-doll-envelopes,hard,4758,115,41.37391304347826
1320,Remove All Adjacent Duplicates in String II,remove-all-adjacent-duplicates-in-string-ii,medium,4749,87,54.58620689655172
174,Dungeon Game,dungeon-game,hard,4731,87,54.37931034482759
684,Redundant Connection,redundant-connection,medium,4715,327,14.418960244648318
937,Online Stock Span,online-stock-span,medium,4708,301,15.641196013289036
1050,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,medium,4700,64,73.4375
115,Distinct Subsequences,distinct-subsequences,hard,4673,189,24.724867724867725
6,Zigzag Conversion,zigzag-conversion,medium,4656,10152,0.458628841607565
583,Delete Operation for Two Strings,delete-operation-for-two-strings,medium,4649,70,66.41428571428571
232,Implement Queue using Stacks,implement-queue-using-stacks,easy,4621,295,15.664406779661016
191,Number of 1 Bits,number-of-1-bits,easy,4616,975,4.734358974358974
538,Convert BST to Greater Tree,convert-bst-to-greater-tree,medium,4595,165,27.848484848484848
1008,Binary Tree Cameras,binary-tree-cameras,hard,4573,62,73.75806451612904
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,medium,4555,344,13.241279069767442
474,Ones and Zeroes,ones-and-zeroes,medium,4535,413,10.980629539951574
260,Single Number III,single-number-iii,medium,4513,203,22.23152709359606
943,Sum of Subarray Minimums,sum-of-subarray-minimums,medium,4446,298,14.919463087248323
231,Power of Two,power-of-two,easy,4438,330,13.44848484848485
376,Wiggle Subsequence,wiggle-subsequence,medium,4433,144,30.78472222222222
637,Average of Levels in Binary Tree,average-of-levels-in-binary-tree,easy,4404,276,15.956521739130435
673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,medium,4393,197,22.299492385786802
216,Combination Sum III,combination-sum-iii,medium,4391,93,47.215053763440864
332,Reconstruct Itinerary,reconstruct-itinerary,hard,4385,1630,2.6901840490797544
413,Arithmetic Slices,arithmetic-slices,medium,4383,266,16.477443609022558
59,Spiral Matrix II,spiral-matrix-ii,medium,4378,200,21.89
735,Asteroid Collision,asteroid-collision,medium,4374,371,11.789757412398922
1544,Count Good Nodes in Binary Tree,count-good-nodes-in-binary-tree,medium,4352,119,36.57142857142857
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,medium,4348,222,19.585585585585587
557,Reverse Words in a String III,reverse-words-in-a-string-iii,easy,4343,215,20.2
654,Maximum Binary Tree,maximum-binary-tree,medium,4329,311,13.919614147909968
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,medium,4292,961,4.466181061394381
984,Most Stones Removed with Same Row or Column,most-stones-removed-with-same-row-or-column,medium,4291,590,7.272881355932204
766,Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,medium,4285,286,14.982517482517483
783,Search in a Binary Search Tree,search-in-a-binary-search-tree,easy,4279,159,26.91194968553459
1021,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,medium,4273,143,29.88111888111888
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,medium,4254,747,5.694779116465863
784,Insert into a Binary Search Tree,insert-into-a-binary-search-tree,medium,4246,154,27.571428571428573
290,Word Pattern,word-pattern,easy,4245,482,8.807053941908714
132,Palindrome Partitioning II,palindrome-partitioning-ii,hard,4241,98,43.275510204081634
454,4Sum II,4sum-ii,medium,4233,122,34.69672131147541
523,Continuous Subarray Sum,continuous-subarray-sum,medium,4223,409,10.32518337408313
